model,learner,best_rmse,best_emse,best_params
RandomForest,X-Learner,0.7597943517196706,0.9079185967887364,"{'control_params': {'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}, 'treated_params': {'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}, 'cate_params': {'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}}"
GradientBoosting,X-Learner,0.7631394871644475,0.9077839952868239,"{'control_params': {'learning_rate': 0.05, 'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 200, 'subsample': 0.8}, 'treated_params': {'learning_rate': 0.1, 'max_depth': 3, 'min_samples_split': 10, 'n_estimators': 100, 'subsample': 0.8}, 'cate_params': {'learning_rate': 0.1, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 0.8}}"
NeuralNetwork,X-Learner,0.7743423957596968,0.9250690083709723,"{'control_params': {'activation': 'tanh', 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001, 'solver': 'adam'}, 'treated_params': {'activation': 'tanh', 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001, 'solver': 'adam'}, 'cate_params': {'activation': 'tanh', 'hidden_layer_sizes': (100,), 'learning_rate_init': 0.001, 'solver': 'adam'}}"
Ridge,X-Learner,0.762411571632213,0.9014327065427032,"{'control_params': {'alpha': 10.0}, 'treated_params': {'alpha': 10.0}, 'cate_params': {'alpha': 10.0}}"
SVR,X-Learner,0.7719883201561119,0.9112725796383995,"{'control_params': {'C': 0.1, 'epsilon': 0.1, 'kernel': 'rbf'}, 'treated_params': {'C': 1.0, 'epsilon': 0.5, 'kernel': 'rbf'}, 'cate_params': {'C': 0.1, 'epsilon': 0.2, 'kernel': 'rbf'}}"
AdaBoost,X-Learner,0.7555446650947133,0.9138410962362744,"{'control_params': {'learning_rate': 0.5, 'n_estimators': 200}, 'treated_params': {'learning_rate': 0.5, 'n_estimators': 200}, 'cate_params': {'learning_rate': 0.5, 'n_estimators': 100}}"
ExtraTrees,X-Learner,0.7709814429106148,0.916575713450896,"{'control_params': {'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 100}, 'treated_params': {'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 500}, 'cate_params': {'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 500}}"
